J, Jp,  transition energy (au), line strength (au), the level inverse lifetime (au), transition energy (nm) ,linewidth (Hz)
9.0,8.0,-0.072775259,2.546,0.0,-626.0,0.0
9.0,9.0,0.0070265406,42.75,3.796e-13,6483.0,2498.0
9.0,8.0,0.0074769792,25.34,3.428e-13,6092.0,2255.0
9.0,10.0,0.011346623,43.42,1.461e-12,4015.0,9612.0
9.0,8.0,0.013353958,0.2838,6.584e-14,3411.0,433.0
9.0,8.0,0.013919353,0.0005071,3.093e-16,3273.0,2.0
9.0,9.0,0.01489222,4.631,6.419e-13,3059.0,4223.0
9.0,10.0,0.017430732,12.97,3.268e-12,2613.0,21501.0
9.0,8.0,0.019233398,0.01443,3.894e-14,2368.0,256.0
9.0,9.0,0.019303565,0.2416,1.045e-13,2360.0,688.0
9.0,8.0,0.021950108,0.03819,2.458e-14,2075.0,162.0
9.0,8.0,0.025526598,0.02009,1.285e-13,1784.0,845.0
9.0,9.0,0.027560998,0.1736,1.99e-13,1653.0,1309.0
9.0,10.0,0.029683517,0.2434,1.685e-13,1535.0,1109.0
9.0,9.0,0.032070851,0.01897,4.135e-13,1420.0,2721.0
9.0,8.0,0.033298143,0.0002213,1.751e-13,1368.0,1152.0
9.0,8.0,0.033792459,0.1097,6.021e-13,1348.0,3961.0
9.0,8.0,0.034455633,0.02481,9.612e-14,1322.0,632.0
9.0,9.0,0.035575396,0.02635,5.351e-14,1280.0,352.0
9.0,10.0,0.035583324,0.04457,1.765e-12,1280.0,11613.0
9.0,9.0,0.035856248,0.01853,7.659e-14,1270.0,504.0
9.0,8.0,0.036205718,0.001735,4.955e-15,1258.0,33.0
9.0,9.0,0.044021187,8.106e-6,8.896e-17,1035.0,1.0
9.0,8.0,0.045442306,0.00313,1.225e-14,1002.0,81.0
9.0,8.0,0.048346509,0.00225,4.57e-14,942.0,301.0
9.0,9.0,0.048695979,1.084e-6,3.551e-14,935.0,234.0
9.0,8.0,0.049527964,0.002284,2.78e-14,920.0,183.0
9.0,9.0,0.050771386,0.001832,5.952e-14,897.0,392.0
9.0,8.0,0.051185556,0.08931,3.688e-13,890.0,2426.0
9.0,8.0,0.06197084,0.0007469,5.646e-15,735.0,37.0
9.0,8.0,0.062564985,0.001588,1.535e-14,728.0,101.0
9.0,8.0,0.063936439,8.707e-6,7.362e-17,712.0,0.0
9.0,10.0,0.067058435,1.558e-5,6.563e-16,679.0,4.0
9.0,8.0,0.070631507,0.08728,1.212e-12,645.0,7974.0
9.0,8.0,0.074292061,9.624e-7,3.803e-17,613.0,0.0
9.0,9.0,0.086140335,1.577e-7,2.985e-17,529.0,0.0
9.0,8.0,0.099316779,0.1439,6.372e-12,459.0,41924.0
9.0,9.0,0.099550974,0.01244,1.882e-12,458.0,12382.0
9.0,10.0,0.099859893,0.0007431,2.44e-12,456.0,16054.0
9.0,8.0,0.10009318,0.0811,3.426e-12,455.0,22541.0
9.0,9.0,0.10043171,0.1273,5.52e-12,454.0,36318.0
9.0,9.0,0.10127281,0.004819,7.971e-13,450.0,5244.0
9.0,8.0,0.101923,0.0004877,1.378e-12,447.0,9066.0
9.0,8.0,0.10306345,0.02331,2.064e-12,442.0,13580.0
9.0,10.0,0.10308532,0.000174,7.995e-13,442.0,5260.0
9.0,9.0,0.10442624,9.422e-6,6.89e-13,436.0,4533.0
9.0,8.0,0.10615355,0.0053,6.275e-13,429.0,4129.0
9.0,8.0,0.10900945,1.758e-8,8.639e-17,418.0,1.0
9.0,8.0,0.10919945,0.000559,4.074e-13,417.0,2680.0
9.0,10.0,0.11432122,6.725e-5,6.794e-14,398.0,447.0
9.0,8.0,0.11515822,6.041e-5,1.067e-12,396.0,7020.0
9.0,9.0,0.1154799,8.71e-5,7.599e-14,394.0,500.0
9.0,8.0,0.11628819,0.0001727,1.297e-13,392.0,853.0
9.0,8.0,0.11786969,8.847e-6,1.938e-14,386.0,128.0
9.0,9.0,0.11905479,6.643e-5,3.412e-13,383.0,2245.0
9.0,8.0,0.1195291,0.0005766,8.78e-14,381.0,578.0
9.0,10.0,0.1215676,4.735e-5,1.252e-12,375.0,8237.0
9.0,8.0,0.12169199,0.006106,1.162e-12,374.0,7645.0
9.0,9.0,0.12198679,5.039e-5,3.865e-13,373.0,2543.0
9.0,8.0,0.12232806,0.0007386,2.526e-13,372.0,1662.0
9.0,8.0,0.12432783,0.005384,7.253e-13,366.0,4772.0
9.0,8.0,0.12458162,7.63e-5,3.352e-13,366.0,2205.0
9.0,9.0,0.12652398,0.003218,6.551e-13,360.0,4310.0
9.0,8.0,0.1277027,1.995e-5,8.128e-13,357.0,5348.0
9.0,8.0,0.12815651,0.00211,9.829e-13,355.0,6467.0
9.0,10.0,0.12838114,1.417e-5,1.633e-12,355.0,10744.0
9.0,9.0,0.12989885,3.121e-6,2.51e-12,351.0,16514.0
9.0,10.0,0.13242807,2.155e-6,1.798e-12,344.0,11830.0
9.0,9.0,0.13286228,9.909e-8,6.405e-13,343.0,4214.0
9.0,8.0,0.13312108,1.37e-5,6.939e-14,342.0,457.0
9.0,8.0,0.13373209,3.795e-5,9.606e-13,341.0,6320.0
9.0,9.0,0.13376899,6.698e-6,2.595e-12,341.0,17074.0
9.0,8.0,0.13415902,9.031e-7,3.473e-13,340.0,2285.0
9.0,8.0,0.13586673,7.582e-5,7.068e-13,335.0,4650.0
9.0,10.0,0.13608908,0.001056,1.653e-12,335.0,10876.0
9.0,9.0,0.13665269,6.374e-7,2.129e-13,333.0,1401.0
9.0,9.0,0.13754163,7.651e-5,3.012e-13,331.0,1982.0
9.0,8.0,0.13784508,3.861e-5,2.292e-13,330.0,1508.0
9.0,9.0,0.1382547,8.256e-6,1.376e-12,329.0,9053.0
9.0,10.0,0.13898918,0.001368,1.55e-11,328.0,101980.0
9.0,8.0,0.1391081,7.864e-5,1.007e-12,327.0,6625.0
9.0,8.0,0.13961932,2.069e-5,2.441e-13,326.0,1606.0
9.0,9.0,0.13995056,0.0001514,1.566e-12,325.0,10303.0
9.0,8.0,0.14072377,1.542e-6,1.363e-12,324.0,8968.0
9.0,10.0,0.14377833,0.0001685,1.739e-12,317.0,11442.0
9.0,9.0,0.14385898,0.0004879,4.149e-12,317.0,27298.0
9.0,8.0,0.14634127,5.029e-5,9.061e-13,311.0,5962.0
9.0,10.0,0.14693086,1.1e-5,1.774e-13,310.0,1167.0
9.0,9.0,0.14704659,0.00253,2.064e-12,310.0,13580.0
9.0,9.0,0.14727759,0.001261,1.081e-12,309.0,7112.0
9.0,8.0,0.14762205,1.18e-8,1.858e-14,309.0,122.0
9.0,10.0,0.14844903,8.88e-5,9.797e-13,307.0,6446.0
9.0,8.0,0.14955895,9.688e-6,1.551e-13,305.0,1020.0
9.0,9.0,0.14974393,0.0002002,9.371e-13,304.0,6166.0
9.0,8.0,0.15015719,3.136e-5,6.577e-13,303.0,4327.0
9.0,9.0,0.15060827,3.244e-5,9.964e-13,302.0,6556.0
9.0,8.0,0.15105206,1.271e-5,4.749e-13,302.0,3125.0
9.0,10.0,0.15134366,0.002268,8.585e-13,301.0,5648.0
9.0,10.0,0.15176831,6.985e-5,1.064e-12,300.0,7000.0
9.0,9.0,0.15186627,1.618e-9,5.784e-13,300.0,3806.0
9.0,8.0,0.15221711,3.137e-10,7.827e-14,299.0,515.0
9.0,8.0,0.15327281,1.269e-5,4.844e-13,297.0,3187.0
9.0,9.0,0.15328238,3.971e-5,1.623e-12,297.0,10678.0
9.0,8.0,0.15384098,2.03e-6,4.697e-13,296.0,3090.0
9.0,8.0,0.15424741,2.182e-5,1.728e-12,295.0,11369.0
9.0,10.0,0.15487071,0.000269,2.725e-12,294.0,17929.0
9.0,10.0,0.15492038,1.656e-6,2.945e-12,294.0,19376.0
9.0,9.0,0.15553685,0.0003515,1.738e-12,293.0,11435.0
