J, Jp,  transition energy (au), line strength (au), the level inverse lifetime (au), transition energy (nm) ,linewidth (Hz)
8.0,7.0,0.038816312,0.0008438,2.025e-15,1174.0,13.0
8.0,7.0,0.057660918,5.281e-5,1.55e-15,790.0,10.0
8.0,7.0,0.065464449,0.04829,4.645e-13,696.0,3056.0
8.0,7.0,0.069232623,0.6022,7.029e-12,658.0,46247.0
8.0,7.0,0.076062741,2.109,3.21e-11,599.0,211198.0
8.0,7.0,0.080591867,0.1712,3.628e-12,565.0,23870.0
8.0,7.0,0.083562137,0.4496,9.982e-12,545.0,65675.0
8.0,7.0,0.083990249,0.07983,1.765e-12,542.0,11613.0
8.0,7.0,0.085918852,0.5163,1.159e-11,530.0,76255.0
8.0,7.0,0.090705137,0.07434,4.211e-12,502.0,27706.0
8.0,7.0,0.093338193,0.1735,5.82e-12,488.0,38292.0
8.0,7.0,0.09461802,0.0002704,2.697e-11,481.0,177446.0
8.0,7.0,0.098759677,8.192,2.764e-10,461.0,1.818542e6
8.0,7.0,0.099252352,4.76,1.619e-10,459.0,1.065203e6
8.0,7.0,0.10051846,0.04669,2.056e-12,453.0,13527.0
8.0,7.0,0.10698152,0.1057,4.917e-12,426.0,32351.0
8.0,7.0,0.11258216,92.86,4.639e-9,405.0,3.052177e7
8.0,7.0,0.11348381,4.648,2.371e-10,401.0,1.559972e6
8.0,7.0,0.12496676,0.001763,4.346e-11,365.0,285940.0
8.0,7.0,0.12682506,0.007125,4.949e-9,359.0,3.256138e7
8.0,7.0,0.14015583,0.008229,1.862e-11,325.0,122508.0
8.0,7.0,0.14115002,0.001968,1.884e-12,323.0,12396.0
8.0,7.0,0.14443695,0.7693,1.721e-10,315.0,1.132312e6
8.0,7.0,0.15357193,6.02,7.956e-10,297.0,5.234559e6
8.0,7.0,0.15761841,0.4404,3.249e-10,289.0,2.137642e6
8.0,7.0,0.15873471,0.0008164,2.782e-11,287.0,183039.0
8.0,7.0,0.16125026,4.737,6.988e-10,282.0,4.597675e6
8.0,7.0,0.16211687,0.5586,1.226e-10,281.0,806633.0
8.0,7.0,0.16226222,0.06798,1.892e-11,281.0,124482.0
8.0,7.0,0.16643217,1.38,2.226e-10,274.0,1.464571e6
8.0,7.0,0.16893633,8.361,1.409e-9,270.0,9.270354e6
8.0,7.0,0.16945165,0.04591,4.305e-11,269.0,283243.0
8.0,7.0,0.1696339,0.3176,6.05e-11,269.0,398053.0
8.0,7.0,0.1699214,0.1578,3.671e-11,268.0,241529.0
8.0,7.0,0.17483996,2.048,5.851e-10,261.0,3.849599e6
8.0,7.0,0.17584736,0.05283,1.427e-11,259.0,93888.0
8.0,7.0,0.17738467,9.097e-5,6.07e-12,257.0,39937.0
8.0,7.0,0.17826905,0.07905,5.919e-11,256.0,389434.0
8.0,7.0,0.17843581,0.02207,1.04e-10,255.0,684256.0
8.0,7.0,0.17986377,0.002979,4.347e-11,253.0,286006.0
8.0,7.0,0.1821638,0.1649,1.484e-10,250.0,976381.0
8.0,7.0,0.18441235,0.007233,1.373e-11,247.0,90335.0
8.0,7.0,0.1855528,0.0411,5.044e-10,245.0,3.318642e6
8.0,7.0,0.1864226,0.07494,3.107e-10,244.0,2.044215e6
8.0,7.0,0.18694977,0.0009504,2.9e-11,244.0,190802.0
8.0,7.0,0.18925345,0.1149,9.269e-10,241.0,6.098433e6
8.0,7.0,0.1904832,0.00506,2.7e-10,239.0,1.776434e6
8.0,7.0,0.19065953,0.162,7.342e-10,239.0,4.830585e6
8.0,7.0,0.19209842,0.003078,4.238e-12,237.0,27883.0
8.0,7.0,0.1933145,0.005443,2.229e-10,236.0,1.466545e6
8.0,7.0,0.19479121,0.1644,4.287e-10,234.0,2.820583e6
8.0,7.0,0.19522406,0.1107,3.722e-10,233.0,2.448847e6
8.0,7.0,0.19578312,0.003863,4.843e-10,233.0,3.186397e6
8.0,7.0,0.19628705,0.7239,5.385e-10,232.0,3.542999e6
8.0,7.0,0.19773961,0.2299,4.752e-10,230.0,3.126524e6
8.0,7.0,0.19963322,0.003094,3.114e-11,228.0,204882.0
8.0,7.0,0.19996993,0.6335,3.602e-10,228.0,2.369895e6
8.0,7.0,0.2005463,0.02178,1.56e-11,227.0,102638.0
8.0,7.0,0.20202574,1.073e-5,1.468e-11,225.0,96585.0
8.0,7.0,0.20238023,0.003092,8.179e-10,225.0,5.38128e6
8.0,7.0,0.20429024,0.07798,2.576e-10,223.0,1.69485e6
8.0,7.0,0.20566169,0.007751,6.485e-10,221.0,4.266732e6
8.0,7.0,0.20748103,0.0008289,2.03e-10,220.0,1.335615e6
8.0,7.0,0.20811482,0.03081,5.277e-10,219.0,3.471942e6
8.0,7.0,0.20875635,0.001851,1.03e-10,218.0,677677.0
8.0,7.0,0.21061351,0.01028,5.434e-10,216.0,3.575238e6
8.0,7.0,0.21182823,0.002669,4.907e-11,215.0,322850.0
8.0,7.0,0.21288347,0.0008031,5.721e-11,214.0,376407.0
8.0,7.0,0.2138157,0.06688,3.292e-10,213.0,2.165934e6
8.0,7.0,0.21440802,0.00565,1.748e-10,212.0,1.150077e6
8.0,7.0,0.2149525,0.0005026,1.339e-9,212.0,8.809797e6
8.0,7.0,0.21672719,0.01376,4.676e-10,210.0,3.076521e6
8.0,7.0,0.21827361,0.0321,4.424e-10,209.0,2.91072e6
8.0,7.0,0.21874838,0.006549,6.992e-11,208.0,460031.0
8.0,7.0,0.21949151,0.002328,7.28e-12,208.0,47898.0
8.0,7.0,0.22047067,0.0744,2.191e-10,207.0,1.441543e6
8.0,7.0,0.22187812,0.003592,2.642e-10,205.0,1.738274e6
8.0,7.0,0.22263538,0.0002356,5.946e-11,205.0,391210.0
8.0,7.0,0.22382094,0.001134,9.59e-11,204.0,630963.0
8.0,7.0,0.22386012,0.01883,2.78e-10,203.0,1.829069e6
8.0,7.0,0.22452808,0.03112,2.543e-10,203.0,1.673138e6
8.0,7.0,0.2252252,0.004904,1.29e-11,202.0,84874.0
8.0,7.0,0.22673835,0.0002834,1.471e-11,201.0,96783.0
8.0,7.0,0.22698576,0.006957,3.817e-10,201.0,2.511352e6
8.0,7.0,0.22714068,0.0002558,3.11e-11,201.0,204619.0
8.0,7.0,0.22808839,0.007187,0.0,200.0,0.0
8.0,7.0,0.22874086,0.0005483,0.0,199.0,0.0
8.0,7.0,0.22982162,3.801e-6,0.0,198.0,0.0
8.0,7.0,0.23189794,0.001029,0.0,196.0,0.0
8.0,7.0,0.23356282,0.008843,0.0,195.0,0.0
8.0,7.0,0.23413145,0.01313,0.0,195.0,0.0
8.0,7.0,0.23470646,0.08844,0.0,194.0,0.0
8.0,7.0,0.23515161,0.1192,0.0,194.0,0.0
8.0,7.0,0.23608475,0.009426,0.0,193.0,0.0
8.0,7.0,0.23724479,0.04269,0.0,192.0,0.0
8.0,7.0,0.23929012,0.00333,0.0,190.0,0.0
8.0,7.0,0.24004966,0.0001465,0.0,190.0,0.0
8.0,7.0,0.2402793,5.047e-5,0.0,190.0,0.0
8.0,7.0,0.24116733,6.303e-7,0.0,189.0,0.0
8.0,7.0,0.24154232,5.305e-6,0.0,189.0,0.0
8.0,7.0,0.24307871,0.004164,0.0,187.0,0.0
8.0,7.0,0.24471808,0.0602,0.0,186.0,0.0
8.0,7.0,0.24620572,0.03324,0.0,185.0,0.0
8.0,7.0,0.24750837,0.0007997,0.0,184.0,0.0
8.0,7.0,0.24946577,0.001278,0.0,183.0,0.0
8.0,7.0,0.25077982,0.005275,0.0,182.0,0.0
8.0,7.0,0.25168607,0.02222,0.0,181.0,0.0
8.0,7.0,0.25303702,0.02799,0.0,180.0,0.0
8.0,7.0,0.25357376,0.0003051,0.0,180.0,0.0
8.0,7.0,0.25498667,0.0001785,0.0,179.0,0.0
8.0,7.0,0.25668527,0.01063,0.0,177.0,0.0
8.0,7.0,0.25787447,0.002535,0.0,177.0,0.0
8.0,7.0,0.25798155,3.78e-6,0.0,177.0,0.0
8.0,7.0,0.25828226,0.0005624,0.0,176.0,0.0
8.0,7.0,0.25871375,0.00831,0.0,176.0,0.0
8.0,7.0,0.26196469,0.006904,0.0,174.0,0.0
8.0,7.0,0.26289145,0.00429,0.0,173.0,0.0
8.0,7.0,0.26398451,0.0002158,0.0,173.0,0.0
8.0,7.0,0.26482287,0.01411,0.0,172.0,0.0
8.0,7.0,0.26522018,0.0007781,0.0,172.0,0.0
8.0,7.0,0.26667274,0.00185,0.0,171.0,0.0
8.0,7.0,0.26826427,0.001976,0.0,170.0,0.0
8.0,7.0,0.26995148,0.00122,0.0,169.0,0.0
8.0,7.0,0.27082492,0.01373,0.0,168.0,0.0
8.0,7.0,0.27276273,0.02292,0.0,167.0,0.0
8.0,7.0,0.2746413,0.01797,0.0,166.0,0.0
8.0,7.0,0.27483176,0.02249,0.0,166.0,0.0
8.0,7.0,0.27497118,0.02916,0.0,166.0,0.0
8.0,7.0,0.27618134,0.0003526,0.0,165.0,0.0
8.0,7.0,0.27634947,0.0006153,0.0,165.0,0.0
8.0,7.0,0.27674952,0.0001065,0.0,165.0,0.0
8.0,7.0,0.27798064,0.002153,0.0,164.0,0.0
8.0,7.0,0.27839253,0.0001619,0.0,164.0,0.0
8.0,7.0,0.27997585,0.01054,0.0,163.0,0.0
8.0,7.0,0.28070213,0.03562,0.0,162.0,0.0
8.0,7.0,0.28231461,8.405e-5,0.0,161.0,0.0
8.0,7.0,0.2825643,0.003133,0.0,161.0,0.0
8.0,7.0,0.28332703,0.008572,0.0,161.0,0.0
8.0,7.0,0.28531496,0.01618,0.0,160.0,0.0
8.0,7.0,0.28580157,0.00571,0.0,159.0,0.0
8.0,7.0,0.28588176,0.0001328,0.0,159.0,0.0
8.0,7.0,0.28721312,0.01369,0.0,159.0,0.0
8.0,7.0,0.28845108,0.0008945,0.0,158.0,0.0
8.0,7.0,0.28880374,0.001697,0.0,158.0,0.0
8.0,7.0,0.28974371,0.0004751,0.0,157.0,0.0
8.0,7.0,0.29153753,2.319e-5,0.0,156.0,0.0
8.0,7.0,0.29230755,3.289e-8,0.0,156.0,0.0
8.0,7.0,0.29335779,0.02012,0.0,155.0,0.0
8.0,7.0,0.29427589,0.000188,0.0,155.0,0.0
8.0,7.0,0.29440164,0.01644,0.0,155.0,0.0
8.0,7.0,0.29470008,0.01321,0.0,155.0,0.0
8.0,7.0,0.29651168,0.0402,0.0,154.0,0.0
8.0,7.0,0.29706618,0.0003719,0.0,153.0,0.0
8.0,7.0,0.29835744,0.05083,0.0,153.0,0.0
8.0,7.0,0.30065793,0.01332,0.0,152.0,0.0
8.0,7.0,0.30125253,0.01025,0.0,151.0,0.0
8.0,7.0,0.30136006,0.002779,0.0,151.0,0.0
8.0,7.0,0.30199203,0.000711,0.0,151.0,0.0
8.0,7.0,0.30302768,1.197e-5,0.0,150.0,0.0
8.0,7.0,0.30477685,0.0009302,0.0,149.0,0.0
8.0,7.0,0.30570634,0.01008,0.0,149.0,0.0
8.0,7.0,0.30691058,0.02266,0.0,148.0,0.0
8.0,7.0,0.30724547,0.0002283,0.0,148.0,0.0
8.0,7.0,0.30825333,3.599e-5,0.0,148.0,0.0
8.0,7.0,0.30852261,1.555e-5,0.0,148.0,0.0
8.0,7.0,0.30925891,0.0005786,0.0,147.0,0.0
8.0,7.0,0.3095979,0.0008531,0.0,147.0,0.0
8.0,7.0,0.30981615,0.006049,0.0,147.0,0.0
8.0,7.0,0.31081627,0.0001045,0.0,147.0,0.0
8.0,7.0,0.31159631,0.0005379,0.0,146.0,0.0
8.0,7.0,0.31188655,0.001979,0.0,146.0,0.0
8.0,7.0,0.31322656,0.0008098,0.0,145.0,0.0
8.0,7.0,0.31449596,5.235e-7,0.0,145.0,0.0
8.0,7.0,0.31527372,0.002394,0.0,144.0,0.0
8.0,7.0,0.31602688,0.000177,0.0,144.0,0.0
8.0,7.0,0.31888005,0.002025,0.0,143.0,0.0
8.0,7.0,0.31950655,3.358e-6,0.0,143.0,0.0
8.0,7.0,0.31976991,0.002912,0.0,142.0,0.0
8.0,7.0,0.32153958,0.0002365,0.0,142.0,0.0
8.0,7.0,0.32232008,7.613e-7,0.0,141.0,0.0
8.0,7.0,0.32248183,6.316e-6,0.0,141.0,0.0
8.0,7.0,0.3231671,0.004504,0.0,141.0,0.0
8.0,7.0,0.32454539,2.6e-6,0.0,140.0,0.0
8.0,7.0,0.32532498,0.0001825,0.0,140.0,0.0
8.0,7.0,0.3262768,3.722e-5,0.0,140.0,0.0
8.0,7.0,0.32889805,0.0009237,0.0,138.0,0.0
8.0,7.0,0.33008634,0.000803,0.0,138.0,0.0
8.0,7.0,0.3349648,0.0001927,0.0,136.0,0.0
8.0,7.0,0.33539538,2.551e-5,0.0,136.0,0.0
8.0,7.0,0.3358182,5.064e-5,0.0,136.0,0.0
8.0,7.0,0.33679326,2.129e-5,0.0,135.0,0.0
8.0,7.0,0.33763754,2.779e-5,0.0,135.0,0.0
8.0,7.0,0.33848183,0.0001014,0.0,135.0,0.0
8.0,7.0,0.33998496,0.0001685,0.0,134.0,0.0
8.0,7.0,0.34075726,0.0005507,0.0,134.0,0.0
8.0,7.0,0.34287185,0.0006507,0.0,133.0,0.0
8.0,7.0,0.34329286,2.795e-5,0.0,133.0,0.0
8.0,7.0,0.34405741,6.824e-5,0.0,132.0,0.0
8.0,7.0,0.34526028,0.00235,0.0,132.0,0.0
8.0,7.0,0.3454922,0.0001923,0.0,132.0,0.0
8.0,7.0,0.3470295,0.002477,0.0,131.0,0.0
8.0,7.0,0.34916277,0.0003903,0.0,130.0,0.0
8.0,7.0,0.34922429,0.002858,0.0,130.0,0.0
8.0,7.0,0.3510901,0.0007324,0.0,130.0,0.0
8.0,7.0,0.3521941,0.0009733,0.0,129.0,0.0
8.0,7.0,0.35307028,0.009291,0.0,129.0,0.0
8.0,7.0,0.35319467,0.000352,0.0,129.0,0.0
8.0,7.0,0.35669211,1.786e-8,0.0,128.0,0.0
8.0,7.0,0.35700877,0.0001672,0.0,128.0,0.0
8.0,7.0,0.35989703,0.002628,0.0,127.0,0.0
8.0,7.0,0.36040642,5.183e-6,0.0,126.0,0.0
8.0,7.0,0.36189042,0.0009218,0.0,126.0,0.0
8.0,7.0,0.36381911,0.0004581,0.0,125.0,0.0
8.0,7.0,0.36468117,1.787e-5,0.0,125.0,0.0
8.0,7.0,0.37017929,1.581e-5,0.0,123.0,0.0
8.0,7.0,0.37082629,5.486e-5,0.0,123.0,0.0
8.0,7.0,0.37092152,0.0006423,0.0,123.0,0.0
8.0,7.0,0.3727641,0.001878,0.0,122.0,0.0
8.0,7.0,0.37550199,0.001367,0.0,121.0,0.0
8.0,7.0,0.37716369,0.0002775,0.0,121.0,0.0
8.0,7.0,0.37765623,9.036e-5,0.0,121.0,0.0
8.0,7.0,0.37906049,3.24e-5,0.0,120.0,0.0
8.0,7.0,0.38019091,0.009009,0.0,120.0,0.0
8.0,7.0,0.38158105,0.0007957,0.0,119.0,0.0
8.0,7.0,0.38295341,0.0566,0.0,119.0,0.0
8.0,7.0,0.38454084,0.02638,0.0,118.0,0.0
8.0,7.0,0.38777537,0.002463,0.0,117.0,0.0
8.0,7.0,0.38987402,0.000397,0.0,117.0,0.0
8.0,7.0,0.3917084,1.537e-6,0.0,116.0,0.0
8.0,7.0,0.39524912,0.001134,0.0,115.0,0.0
8.0,7.0,0.39787311,0.001157,0.0,114.0,0.0
8.0,7.0,0.39909602,0.002782,0.0,114.0,0.0
8.0,7.0,0.40386331,7.347e-7,0.0,113.0,0.0
8.0,7.0,0.40507302,0.00848,0.0,112.0,0.0
8.0,7.0,0.40637658,0.0007343,0.0,112.0,0.0
8.0,7.0,0.40951771,0.0002087,0.0,111.0,0.0
8.0,7.0,0.4181278,9.248e-8,0.0,109.0,0.0
8.0,7.0,0.42290193,3.205e-5,0.0,108.0,0.0
8.0,7.0,0.42557376,0.002,0.0,107.0,0.0
8.0,7.0,0.42765736,0.0006379,0.0,107.0,0.0
8.0,7.0,0.42924205,4.178e-6,0.0,106.0,0.0
8.0,7.0,0.43032509,2.628e-6,0.0,106.0,0.0
8.0,7.0,0.43244652,0.0004819,0.0,105.0,0.0
8.0,7.0,0.43378562,0.001651,0.0,105.0,0.0
8.0,7.0,0.43431097,0.001345,0.0,105.0,0.0
8.0,7.0,0.4366552,1.242e-5,0.0,104.0,0.0
8.0,7.0,0.43957763,0.002645,0.0,104.0,0.0
8.0,7.0,0.44060508,0.003179,0.0,103.0,0.0
8.0,7.0,0.44094589,0.0001571,0.0,103.0,0.0
8.0,7.0,0.44456817,0.0002051,0.0,102.0,0.0
8.0,7.0,0.44759904,0.0001689,0.0,102.0,0.0
8.0,7.0,0.44856817,1.325e-8,0.0,102.0,0.0
8.0,7.0,0.45015833,9.349e-6,0.0,101.0,0.0
8.0,7.0,0.45126005,4.319e-5,0.0,101.0,0.0
8.0,7.0,0.45444857,0.001299,0.0,100.0,0.0
8.0,7.0,0.45608748,8.11e-5,0.0,100.0,0.0
8.0,7.0,0.45802529,2.81e-5,0.0,99.0,0.0
8.0,7.0,0.46017815,2.474e-5,0.0,99.0,0.0
8.0,7.0,0.46155097,0.0007398,0.0,99.0,0.0
8.0,7.0,0.46309785,9.991e-5,0.0,98.0,0.0
8.0,7.0,0.46522474,0.0002688,0.0,98.0,0.0
8.0,7.0,0.46744003,4.396e-7,0.0,97.0,0.0
8.0,7.0,0.46952364,0.001506,0.0,97.0,0.0
8.0,7.0,0.47041576,0.003091,0.0,97.0,0.0
8.0,7.0,0.47357421,1.261e-8,0.0,96.0,0.0
